Title	Sentence	Tag	TaggedSentence
Spinnaker Support Announces New EMEA Third-Party Maintenance Customer	Spinnaker Support's one-stop shop for JD Edwards customers helps Emmi maximize the ERP software investments.	NACQ	<org>'s one-stop shop for <per> customers helps <per> maximize the <org> software investments.
Spinnaker Support Announces New EMEA Third-Party Maintenance Customer	Spinnaker Support, a global market leader for SAP, JD Edwards, Siebel, and Oracle Database third-party maintenance, co-sourcing, and consulting services, helps companies maximize their ERP and CRM software investments.	NACQ	<org>, a global market leader for <org>, <per>, <org>, and oracle database third-party maintenance, co-sourcing, and consulting services, helps companies maximize their erp and crm software investments.
Comcast Cable Selects Randstad Sourceright and Pinnacle Technical Resources to Manage Contingent Worker Program	The joint offering from Randstad and Pinnacle will support Comcast Cable to drive innovation in its contingent labor acquisition program and identify key talent to help deliver market-leading products and services to its customers.	NACQ	the joint offering from <org> and pinnacle will support <org> to drive innovation in its contingent labor acquisition program and identify key talent to help deliver market-leading products and services to its customers.
Fleurette Group and Andrade Gutierrez to Create Infrastructure Joint Venture to Develop Projects in the DRC	The need for infrastructure investment in the DRC ;  ;  A combination of Fleurette and Andrade Gutierrez is ideally suited to developing infrastructure in the DRC.	NACQ	the need for infrastructure investment in the <org> ;  ;  a combination of <org> and <per> is ideally suited to developing infrastructure in the <org>.
Fleurette Group and Andrade Gutierrez to Create Infrastructure Joint Venture to Develop Projects in the DRC	The JV by Fleurette and Andrade Gutierrez has appointed Renaissance Capital, a leading frontier markets investment bank, as financial advisor.	NACQ	the jv by <org> and <per> has appointed <org>, a leading frontier markets investment bank, as financial advisor.
Fleurette Group and Andrade Gutierrez to Create Infrastructure Joint Venture to Develop Projects in the DRC	"Dan Gertler, Senior Advisor to the Fleurette Group, said: ;  ;  ""The DRC has made real strides in the past few years in developing its economy and with additional investment in the country's infrastructure the DRC will be able to reach its full potential."	NACQ	"<per>, senior advisor to the <org>, said: ;  ;  ""the <org> has made real strides in the past few years in developing its economy and with additional investment in the country's infrastructure the <org> will be able to reach its full potential."
Fleurette Group and Andrade Gutierrez to Create Infrastructure Joint Venture to Develop Projects in the DRC	"It is very clear there is a real need for investment in infrastructure in the country and I believe by working with Fleurette, we can successfully bring these much needed projects to completion, creating significant employment and training opportunities for the people of the DRC and enabling major industries such as the resources sector to truly capitalise on the unique opportunity the DRC offers."""	NACQ	"it is very clear there is a real need for investment in infrastructure in the country and i believe by working with <org>, we can successfully bring these much needed projects to completion, creating significant employment and training opportunities for the people of the <org> and enabling major industries such as the resources sector to truly capitalise on the unique opportunity the <org> offers."""
Fleurette Group and Andrade Gutierrez to Create Infrastructure Joint Venture to Develop Projects in the DRC	By bringing billions of dollars in private investment to the country, the Fleurette Group's subsidiaries and partnerships support some 20,000 jobs in the DRC, making the company one of the nation's leading employers.	NACQ	by bringing billions of dollars in private investment to the country, the <org>'s subsidiaries and partnerships support some 20,000 jobs in the <org>, making the company one of the nation's leading employers.
Expiration Date Of Men's Wearhouse Tender Offer Extended To May 7, 2014	The Men's Wearhouse (NYSE: MW) announced today that in accordance with the terms of its merger agreement with Jos. A. Bank Clothiers, Inc. (Nasdaq: JOSB),  it has extended its all-cash tender offer for $65.00 per share for all of the currently outstanding shares of common stock (including associated stock purchase rights) of Jos. A. Bank to 5:00 p.m. New York City time on May 7, 2014, unless further extended.	ACQ	<loc>, calif., april 24, 2014 /prnewswire/ -- the <org> (<org>: mw) announced today that in accordance with the terms of its merger agreement with <org> (nasdaq: josb),  it has extended its all-cash tender offer for $65.00 per share for all of the currently outstanding shares of common stock (including associated stock purchase rights) of <org> to 5:00 p.m. <loc> time on may 7, 2014, unless further extended.
Expiration Date Of Men's Wearhouse Tender Offer Extended To May 7, 2014	"On January 6, 2014, Java Corp. (""Purchaser""), a wholly owned subsidiary of The Men's Wearhouse, Inc., commenced a cash tender offer for all outstanding shares of common stock of Jos. A. Bank Clothiers, Inc. not already owned by Men's Wearhouse or any of its subsidiaries, subject to the terms and conditions set forth in the Second Amended and Restated Offer to Purchase dated as of March 20, 2014 (the ""Offer to Purchase"")."	NACQ	"on january 6, 2014, <org> (""purchaser""), a wholly owned subsidiary of <org>, commenced a cash tender offer for all outstanding shares of common stock of <org> not already owned by <org> or any of its subsidiaries, subject to the terms and conditions set forth in the second amended and restated offer to purchase dated as of march 20, 2014 (the ""offer to purchase"")."
Expiration Date Of Men's Wearhouse Tender Offer Extended To May 7, 2014	The following factors, among others, could cause actual results to differ materially from those expressed or implied in the forward-looking statements:  (1) the occurrence of any event, change or other circumstances that could give rise to the termination of the Agreement and Plan of Merger by and among Men's Wearhouse, Inc.,  Java Corp. and Jos. A. Bank Clothiers, Inc., (2) the failure to consummate the acquisition of Jos. A. Bank for reasons including that the conditions to Men's Wearhouse's offer to purchase all outstanding shares of Jos. A. Bank's common stock, including the condition that a minimum number of shares be tendered and not withdrawn, are not satisfied or waived by Men's Wearhouse, (3) the possibility that the expected benefits from the proposed transaction will not be realized within the anticipated time period, (4) the risk that regulatory or other approvals required for the transaction are not obtained, (5) the risks related to the costs and difficulties related to the integration of Jos. A. Bank's business and operations with Men's Wearhouse's business and operations, (6) the inability to obtain, or delays in obtaining, cost savings and synergies from the transaction, (7) unexpected costs, charges or expenses resulting from the transaction, (8) litigation relating to the transaction, (9) the inability to retain key personnel and (10) the possible disruption that may be caused by the transaction to the business and operations of Men's Wearhouse and its relationships with customers, employees and other third parties.	ACQ	the following factors, among others, could cause actual results to differ materially from those expressed or implied in the forward-looking statements:  (1) the occurrence of any event, change or other circumstances that could give rise to the termination of the agreement and plan of merger by and among <org>,  <org> and <org>, (2) the failure to consummate the acquisition of <org> for reasons including that the conditions to <org>'s offer to purchase all outstanding shares of <org>'s common stock, including the condition that a minimum number of shares be tendered and not withdrawn, are not satisfied or waived by <org>, (3) the possibility that the expected benefits from the proposed transaction will not be realized within the anticipated time period, (4) the risk that regulatory or other approvals required for the transaction are not obtained, (5) the risks related to the costs and difficulties related to the integration of <org>'s business and operations with <org>'s business and operations, (6) the inability to obtain, or delays in obtaining, cost savings and synergies from the transaction, (7) unexpected costs, charges or expenses resulting from the transaction, (8) litigation relating to the transaction, (9) the inability to retain key personnel and (10) the possible disruption that may be caused by the transaction to the business and operations of <org> and its relationships with customers, employees and other third parties.
ChinaEdu Corporation Announces Completion of Merger	"ChinaEdu Corporation (NASDAQ: CEDU) (the ""Company""), a leading online educational services provider in China, today announced the completion of the merger contemplated by the previously announced Agreement and Plan of Merger dated December 31, 2013 (the ""Merger Agreement""), by and among the Company, ChinaEdu Holdings Limited (""Holdings"") and ChinaEdu Merger Sub Limited (""Merger Sub"")."	ACQ	"<loc>, april 23, 2014 /prnewswire/ -- <org> (nasdaq: cedu) (the ""company""), a leading online educational services provider in <loc>, today announced the completion of the merger contemplated by the previously announced agreement and plan of merger dated december 31, 2013 (the ""merger agreement""), by and among the company, <org> (""holdings"") and <loc>edu merger sub limited (""merger sub"")."
