Sentence	Tag	TaggedSentence
When you create the service you can point it at your Windows Azure Active Directory and choose from one of two billing models (per user pricing, or per authentication pricing): Once created the Windows Azure Multi-Factor Authentication service will show up within the â€œMulti-Factor Auth Providersâ€ section of the Active Directory extension: You can then manage which users in your directory have multi-factor authentication enabled by drilling into the â€œUsersâ€ tab of your Active Directory and then click the â€œManage Multi-Factor Authâ€ button: Once multi-factor authentication is enabled for a user within your directory they will be able to use a variety of secondary authentication techniques including verification via a mobile app, phone call, or text message to provide additional verification when they login to an app or service.	NVNSP	When you create the service you can point it at your Windows Azure Active Directory and choose from one of two billing models (per user pricing, or per authentication pricing): Once created the Windows Azure Multi-Factor Authentication service will show up within the Multi-Factor Providers section of the Active Directory extension: You can then manage which users in your directory have multi-factor authentication enabled by drilling into the Users tab of your Active Diectory and then click the Manage Multi-Factor Authentication button: Once multi-factor authentication is enabled for a user within your directory they will be able to use a variety of secondary authentication techniques including verification via a mobile app, phone call, or text message to provide additional verification when they login to an app or service.
When you create the service you can point it at your Windows Azure Active Directory and choose from one of two billing models (per user pricing, or per authentication pricing):	NVNSP	When you create the service you can point it at your Windows Azure Active Directory and choose from one of two billing models (per user pricing, or per authentication pricing):
Once created the Windows Azure Multi-Factor Authentication service will show up within the â€œMulti-Factor Auth Providersâ€ section of the Active Directory extension:	NVNSP	Once created the Windows Azure Multi-Factor Authentication service will show up within the Multi-Factor Authentication Providers section of the Active Directory extension:
You can then manage which users in your directory have multi-factor authentication enabled by drilling into the â€œUsersâ€ tab of your Active Directory and then click the â€œManage Multi-Factor Authâ€ button:	NVNSP	You can then manage which users in your directory have multi-factor authentication enabled by drilling into the Users tab of your Active Directory and then click the  Manage Multi-Factor Authentication button:
Once multi-factor authentication is enabled for a user within your directory they will be able to use a variety of secondary authentication techniques including verification via a mobile app, phone call, or text message to provide additional verification when they login to an app or service.	NVNSP	Once multi-factor authentication is enabled for a user within your directory they will be able to use a variety of secondary authentication techniques including verification via a mobile app, phone call, or text message to provide additional verification when they login to an app or service.
Letâ€™s walkthrough how to enable remote debugging for a Cloud Service: Remote Debugging of Cloud Services To enable remote debugging for your cloud service, select Debug as the Build Configuration on the Common Settings tab of your Cloud Serviceâ€™s publish dialog wizard: Then click the Advanced Settings tab and check the Enable Remote Debugging for all roles checkbox: Once your cloud service is published and running live in the cloud, simply set a breakpoint in your local source code: Then use Visual Studioâ€™s Server Explorer to select the Cloud Service instance deployed in the cloud, and then use the Attach Debugger context menu on the role or to a specific VM instance of it: Once the debugger attaches to the Cloud Service, and a breakpoint is hit, youâ€™ll be able to use the rich debugging capabilities of Visual Studio to debug the cloud instance remotely, in real-time, and see exactly how your app is running in the cloud.	NVNSP	Let's walkthrough how to enable remote debugging for a Cloud Services To Remote Debugging of  Cloud Services To enable remote debugging for your cloud service, select Debug as the Build Configuration on the Common Settings tab of your cloud service's publish dialog wizard: Then click the Advanced Settings tab and check the Enable Remote Debugging for all roles checkbox. Once your cloud service is published and running live in the cloud, simply set a breakpoint in your local source code, then use Visual Studio's Server Explorer to select the Cloud Services instance deployed in the cloud, and then use the Attach Debugger context menu on the role or to a specific VM instance of it. Once the debugger attaches to the Cloud Service, and a breakpoint is hit, you'll be able to use the rich debugging capabilities of Visual Studio to debug the cloud instance remotely, in real-time, and see exactly how your app is running in the cloud.
Team Foundation Services is a cloud based offering from Microsoft that provides integrated source control (with both TFS and Git support), build server, test execution, collaboration tools, and agile planning support.	NVNSP	Team Foundation Services is a cloud based offering from <ORG> that provides integrated source control (with both TFS and Git support), build server, test execution, collaboration tools, and agile planning support.
Team Foundation Services is a cloud based offering from Microsoft that provides integrated source control (with both TFS and Git support), build server, test execution, collaboration tools, and agile planning support.	NVNSP	Team Foundation Services is a cloud based offering from <ORG> that provides integrated source control (with both TFS and Git support), build server, test execution, collaboration tools, and agile planning support.
BRIEF-Solvay to sell European PVC compound business	VNSP	<ORG> to sell European PVC compound business
* Solvay SA : Solvay agrees to sell its European PVC compound business to opengate capital	VNSP	<ORG> agrees to sell its European PVC compound business to <ORG>
* Has signed an agreement to sell its Polyvinyl Chloride (PVC) compound business Benvic Europe to U.S. investment company Opengate Capital	VNSP	Has signed an agreement to sell its Polyvinyl Chloride (PVC) compound business Benvic Europe  to <LOC> investment company <ORG>
* CEO: this divestment is part of Solvay's transformation to achieve higher growth and greater cash returns	VNSP	this divestment is part of <ORG> transformation to achieve higher growth and greater cash returns
* Closing of this transaction is expected in first half of 2014 and is subject to approval of anti-trust authorities Source text for Eikon: Further company coverage:	VNSP	Closing of this transaction is expected in first half of 2014 and is subject to approval of anti-trust authorities Source text for Eikon: Further company coverage:
* The Treasury Department on Wednesday sold a 20 percent stake in the once-embattled lender Ally Financial Inc via its initial public offering.	ACQ	The Treasury Department on Wednesday sold a 20 percent stake in the once-embattled lender <ORG> via its initial public offering.
* Members of the Senate Judiciary Committee expressed concern on Wednesday that the proposed $45 billion merger of Comcast Corp and Time Warner Cable Inc would raise the prices consumers pay for cable television and high-speed Internet service while leaving them with fewer choices for video programming.	ACQ	Members of the Senate Judiciary Committee expressed concern on Wednesday that the proposed $45 billion merger of <ORG> and <ORG> would raise the prices consumers pay for cable television and high-speed Internet service while leaving them with fewer choices for video programming.
* Mars Inc agreed to buy Iams and other pet-food brands from Procter & Gamble Co for $2.9 billion, solidifying its position as the world's biggest pet-food company and effectively ridding P&G of a business that no longer fits with its goals.	ACQ	* Mars Inc agreed to buy <ORG> and other pet-food brands from <ORG> for $2.9 billion, solidifying its position as the world's biggest pet-food company and effectively ridding <ORG> of a business that no longer fits with its goals.
* Bank of America Corp agreed to pay at least $772 million to settle allegations it misled customers when marketing credit-card products promising to protect consumers against identity theft and job loss.	NJOB	<ORG> agreed to pay at least $772 million to settle allegations it misled customers when marketing credit-card products promising to protect consumers against identity theft and job loss.
"The takeover of Smithfield will help WH Group's Chairman and CEO Wan Long, known as China's ""Chief Butcher,"" secure a steady supply of pork to meet the expected demand growth at home, people in the industry have said."	ACQ	"The takeover of <ORG> will help <ORG> Chairman and CEO Wan Long, known as <LOC>'s ""Chief Butcher,"" secure a steady supply of pork to meet the expected demand growth at home, people in the industry have said."
The group's acquisition of Smithfield, completed in September last year, would help secure supplies to China, where WH Group expects will account for most of the world's pork consumption growth in the next few years.	ACQ	The group's acquisition of <ORG>, completed in September last year, would help secure supplies to <LOC>, where <ORG> expects will account for most of the world's pork consumption growth in the next few years.
"iPhone's ""slide to unlock"" creator Greg Christie to leave Apple - WSJ"	JOB	"iPhone's ""slide to unlock"" creator <PER> to leave <ORG> - <ORG>"
"April 9 (Reuters) - Apple Inc's Greg Christie, who led the company's ""human interface"" team that designs software for its products, is leaving the company, the Wall Street Journal reported, citing an internal email."	JOB	"April 9 (<ORG>) - <ORG>'s <PER>, who led the company's ""human interface"" team that designs software for its products, is leaving the company, the <ORG> reported, citing an internal email."
Cogeco Cable also got access to the U.S. cable T.V. market when it acquired Atlantic Broadband on Nov. 30, 2012.	ACQ	<ORG> Cable also got access to the <LOC> cable T.V. market when it acquired <ORG> on Nov. 30, 2012.
His appointment has come at a time when the banking sector is reeling under huge bad loans and the Reserve Bank of India is looking at bringing in more players in the sector by issuing licences on tap.	JOB	His appointment has come at a time when the banking sector is reeling under huge bad loans and the <ORG> is looking at bringing in more players in the sector by issuing licences on tap.
That sets the stage for a confrontation with Rajan, who since being appointed last September has enjoyed an unusually smooth ride in a country where governments often treat the RBI as a punchbag for their own policy failings.	JOB	That sets the stage for a confrontation with <PER>, who since being appointed last September has enjoyed an unusually smooth ride in a country where governments often treat the <ORG> as a punchbag for their own policy failings.
While no RBI governor has been sacked in the central bank's 80-year history, two have quit before completing their terms - most recently Sir Benegal Rama Rau, who resigned in 1957 due to differences with the finance minister.	JOB	While no <ORG> governor has been sacked in the central bank's 80-year history, two have quit before completing their terms - most recently Sir <PER>, who resigned in 1957 due to differences with the finance minister.
The arrangement has allowed the board of Axis Bank to appoint key officials like chief executive and executive director who are in control of the day-to-day business.	JOB	The arrangement has allowed the board of <ORG> to appoint key officials like chief executive and executive director who are in control of the day-to-day business.
Archana Bhargava, who became the chairperson and managing director of UBI in April 2013, opted to resign within 10 months of taking charge.	JOB	<PER>, who became the chairperson and managing director of <ORG> in April 2013, opted to resign within 10 months of taking charge.
When Raghuram Rajan took over as the Reserve Bank of India Governor in September last year, many in the finance ministry and the central bank had hoped to reset the relationship that had taken a few hard knocks during D Subbaraoâ€™s tenure.	JOB	When <PER> took over as the <ORG> Governor in September last year, many in the finance ministry and the central bank had hoped to reset the relationship that had taken a few hard knocks during  <PERs> tenure.
Weaker than expected US non-farm pay-roll growth, even though attributed to disruption due to severe winter storms have nevertheless provided reprieve to US 10Y which rallied smartly to 2.86% over weekend.	NC	Weaker than expected <LOC> non-farm pay-roll growth, even though attributed to disruption due to severe winter storms have nevertheless provided reprieve to <LOC> 10Y which rallied smartly to 2.86% over weekend.
NPCI has sought requests for proposal to identify and appoint a general insurer to provide cover for frauds that result in financial loss to customers.	NJOB	<ORG> has sought requests for proposal to identify and appoint a general insurer to provide cover for frauds that result in financial loss to customers.
Company owns 100 per cent in these assets Investor/Acquirer: Piramal Enterprises Size of Director: Rs 530 crore is what Piramal has invested in the holding company with seven road assets Director Structure: Investment through convertible debentures, stake rises or falls depending on the performance of the roads GMR JADCHERLA EXPRESSWAYS Assets on the block: Farukhnagar-Jadcherla highway in Andhra Pradesh Investor/Acquirer: Macquarie SBI Infrastructure Fund & SBI Macquarie Infrastructure Trust Size of Director: Rs 206 crore Director Structure: Acquiring companies buy 74 per cent in the road project GMR INFRASTRUCTURE Assets on the block: Sells 74 per cent in its Ulundurpet highway project in Tamil Nadu stretching over 73 km Investor/Acquirer: IDFC Alternatives Size of Director: Rs 222 crore paid to acquire 74 per cent in the special purpose vehicle Director Structure: Acquisition is in a single road project that will earn annuity for the investor IVRCL Assets on the block: Three road projects in Tamil Nadu: Salem Tollways, Kumarapalayam Tollways and IVRCL Chengapally Tollways Investor/Acquirer: TRIL Roads, a Tata group company Size of Director: Rs 2,200 crore Director Structure: Salem and Kamarapalayam project have been tolling for the last few years and the controlling stake gives buyer annuity income	ACQ	Company owns 100 per cent in these assets Investor/Acquirer: <ORG> Size of Director: Rs 530 crore is what <ORG> has invested in the holding company with seven road assets Director Structure: Investment through convertible debentures, stake rises or falls depending on the performance of the roads <ORG> JADCHERLA EXPRESSWAYS Assets on the block: <LOC> highway in <LOC> Investor/Acquirer:  Investor/Acquirer: Macquarie <ORG> Infrastructure Fund & <ORG> Macquarie Infrastructure Trust Size of Director: Rs 206 crore Director Structure: Acquiring companies buy 74 per cent in the road project <ORG> INFRASTRUCTURE Assets on the block: Sells 74 per cent in its <ORG> highway project in <LOC> stretching over 73 km Investor/Acquirer: <ORG> Alternatives Size of Director: Rs 222 crore paid to acquire 74 per cent in the special purpose vehicle Director Structure: Acquisition is in a single road project that will earn annuity for the investor <ORG> Assets on the block: Three road projects in <LOC>: <LOC> Tollways, <ORG> Tollways and IVRCL <ORG> Tollways Investor/Acquirer: TRIL Roads, a <ORG> group company Size of Director: Rs 2,200 crore Director Structure: <LOC> and <LOC> project have been tolling for the last few years and the controlling stake gives buyer annuity income
"Jayesh Desai, head of investments at Piramal Enterprises, which has acquired a stake in Hyderabad-based road developer Navayuga Engineering, says: ""Road projects which were bid before 2006 are viable and have an internal rate of return, or IRR, upwards of 15-16 per cent."""	ACQ	"<PER>, head of investments at <ORG>, which has acquired a stake in <LOC>-based road developer <ORG>, says: ""Road projects which were bid before 2006 are viable and have an internal rate of return, or IRR, upwards of 15-16 per cent."""
Newsmaker: Arundhati Bhattacharya	NJOB	Newsmaker: <PER>
As CEO of SBI Capital, Bhattacharya undertook several steps to ensure women did not quit their jobs when faced with pressing issues at home	NJOB	As CEO of <ORG> Capital, <PER> undertook several steps to ensure women did not quit their jobs when faced with pressing issues at home
Arundhati Bhattacharya is making headlines after becoming the first woman to take charge of State Bank of India (SBI), which controls more than 16 per cent of the banking business in the country and ranks among the top 50 banks globally.	NJOB	<PER> is making headlines after becoming the first woman to take charge of <ORG> (<ORG>), which controls more than 16 per cent of the banking business in the country and ranks among the top 50 banks globally.
Earlier this week, HDFC Bank named Sukthankar as its deputy managing director, a position that did not exist in the bank prior to this appointment.	JOB	Earlier this week, <ORG> bank named <PER> as its deputy managing director, a position that did not exist in the bank prior to this appointment.
Yet, uncertainty remains on when Sukthankar will finally take charge of HDFC Bank.	JOB	Yet, uncertainty remains on when <PER> will finally take charge of <ORG> bank.
Prior to this new appointment, Sukthankar was the executive director of HDFC Bank.	JOB	Prior to this new appointment, <PER> was the executive director of <ORG> bank.
With a big staff to man the service kiosks at more than 5000 retail outlets across India and small loans - the average size is around Rs 27,000 -, Bajaj Finance's sheer volumes provide decent margins to the company.	NVNSP	With a big staff to man the service kiosks at more than 5000 retail outlets across <LOC> and small loans - the average size is around Rs 27,000 -, <ORG>'s sheer volumes provide decent margins to the company.
Ever since he's taken over as governor of the Reserve Bank of India (RBI), the currency has appreciated 8.76 per cent and is now stabilising between 61-62 against the dollar.	JOB	Ever since he's taken over as governor of the <ORG> (<ORG>), the currency has appreciated 8.76 per cent and is now stabilising between 61-62 against the dollar.
TS Vijayan â€“made a comeback of sorts after being demoted by the finance ministry in 2012 from the post of LIC chairman.	JOB	TS <PER> made a comeback of sorts after being demoted by the finance ministry in 2012 from the post of <ORG> chairman.
