Sentence	Tag
Abbott Reports First-Quarter 2014 Results  ABBOTT PARK, Ill., April 16, 2014 /PRNewswire/ -- Abbott (NYSE: ABT) today announced financial results for the first quarter ended March 31, 2014.	NONE
Zoned Properties, Inc. Announces Retirement Of 4,576,283 Shares, Reducing Outstanding Shares By Almost 16%  SCOTTSDALE, Arizona, April 16, 2014 /PRNewswire/ -- Zoned Properties, Inc. (OTC: ZDPY) , a lessor of land, facilities and equipment to the medical marijuana industry has announced it has reached a decision with two large shareholders of the company, including the former CEO, to retire a total of 4,576,283 shares of common shares, which represent 15.8 % of the total outstanding shares of the company.	NONE
Abbott Reports First-Quarter 2014 Results  ABBOTT PARK, Ill., April 16, 2014 /PRNewswire/ -- Abbott (NYSE: ABT) today announced financial results for the first quarter ended March 31, 2014.	NONE
Primary Capital Mortgage Appoints Industry Veteran as Vice President, Western Region  ATLANTA, April 16, 2014 /PRNewswire/ --  Primary Capital Mortgage (PCM) is pleased to announce the appointment of Sharon Bitz as its new VP, Western Region supporting Wholesale Account Executives as well as Broker and Correspondent business partners in the Western Region.	JOB
In 2013, a strategic partnership with Resource Capital Corp. (NYSE: RSO) was forged to infuse PCM with the capital needed to develop non-agency products and better serve our residential borrowers.	NONE
PCM is currently investing in exceptional talent, adopting new technologies, and developing product capabilities to better serve clients.	NONE
"Major FGIC Bondholder Applauds Unique Global $950 Million Settlement With Bank Of America  NEW YORK, April 16, 2014 /PRNewswire/ -- Fir Tree Partners, a $12 billion private investment firm that has been a major bondholder of RMBS insured by Financial Guaranty Insurance Company (""FGIC"") since 2008, praised today's announcement of a unique, global settlement between an ad hoc group of bondholders (the ""Ad Hoc Group"") of nine FGIC insured Countrywide RMBS Trusts (the ""RMBS Trusts""), Bank of America, FGIC, Freddie Mac and BNY Mellon as Trustee, that will provide $950 million in cash payments to the RMBS Trusts and FGIC to settle mortgage repurchase claims."	NONE
"The global settlement, the first of its kind involving a monoline insurer and bondholders working together to resolve mortgage repurchase claims, provides for more than $365 million in direct cash payments from Bank of America to the RMBS Trusts (the ""Trust Settlement""), while FGIC received approximately $584 million (the ""FGIC Settlement"")."	NONE
This global settlement represents the culmination of complex and extensive negotiations, as well as the cooperation and support of FGIC, Bank of America, Freddie Mac and the Ad Hoc Group, to provide a very successful outcome, said Evan Lederman, Associate General Counsel at Fir Tree.	NONE
"David Proman, Director of Structured Products at Fir Tree, who, along with Lederman, negotiated the global settlement on behalf of bondholders, said, ""This unique global settlement provides both significant direct cash payments to the RMBS Trusts and increased long-term value to all FGIC policyholders."""	NONE
