Product,Source,Source Date,Rating,Customer Verbatim,Quality Impact,Loyalty,Purchase Decision,Root Want,Sentiment,Features,Opinion Sentence,Loyalty Param
Inspiron 15,ecommerce Website,20/5/2013,4/5,"I have had this laptop a good few weeks now, tested it fully and know the positives and negatives. I have been purchasing systems only from Dell for 6 years, hopefully my review will help you out.Nice sleek, thin and comfortable designed laptop- the casing is very nice ridged texture that looks and feels brilliant. It does accumulate finger prints but nowhere near the level other systems do. It's also light weight. Screen is nice and wide, perfect for work, gaming and browsing the web. It has a glossy glare which is really nice, easy to clean and good quality. Bright and details are great. The Keyboard is perfect, easy to clean, stylish, nice quality feel and durable. Remember, black absorbs heat and makes it fade. Unfortunately I left mine in the sun and the keys have faded (that is my fault not the product) I'm still looking to find a replacement, would be great if I could be directed. Trackpad feels great, very responsive and easy to use. Left and right clickers (I made that word up) are very nice and feel like they're built with quality. However, sometimes the mouse freezes for anywhere up to 40 seconds when opening numerous programs or running scans. This does get a little bit frustrating especially knowing it's an i3 processor. The palm rest has a sharp-ish edge on it, but I'm sure that will wear down with use. I would say it lacks a bit of performance as it should load easy tasks in seconds, it does not always respond when I ask it to and some applications fail to load as quick as they should. Most of the time it works perfectly, it laggs very rarely. Intel HD Graphics is an integrated graphics card that is basic but still very good. I play a standard browser based MMO that runs at 40-45 out of 50 Frames Per Second, for me that is very good. It also handles some games well such as Skyrim, Dirt and Farcry at medium graphics.Audio is great, very loud and clear.Webcam is very nice, perfect for streaming, very high detailed with no 'jittering. Ports are good, the HDMI works perfectly and looks great with my TV. AC adapter is Standard yet very durable and lightweight. Windows8 isEasy to use, quickly able to adapt from taking a first time leap from XP all the way to the newest OS. At first I was a bit pessimistic, but I'm very happy with it's design, features and ease of use. Service and delivery was great from Dell as usual. A very satisfied customer and I won't fail to recommend this product. Cons:Disk tray is flimsy and not very well built when open, it still performs well. The casing on the front of the screen (trim where the webcam is) feels 'plasticy, weak and cheap, the back is ridged and a nice design though. Overall rating from me, 8/10. Some mildly rough patches but still a great system, the price is very decent for what you're getting.",To be derived,To be derived,To be derived,To be derived,To be derived,"laptop,screen,keyboard,trackpad,mouse,i3 processor,graphics card,Intel HD Graphics,Audio,Webcam,Port,HDMI,AC adapter,windows8,
service,delivery,Dell,customer,Disk tray,casing,screen,price,keys.","1)Nice sleek, thin and comfortable designed laptop- the casing is a very nice ridged texture that looks and feels brilliant.
2)Screen is nice and wide, perfect for work, gaming and browsing the web.
3)The Keyboard is perfect, easy to clean, stylish, nice quality feel and durable
4)Trackpad feels great, very responsive and easy to use.
5)However, sometimes the mouse freezes for anywhere up to 40 seconds when opening numerous programs or running scans.
6)This does get a little bit frustrating especially knowing it's an i3 processor
7)Intel HD Graphics is an integrated graphics card that is basic but still very good
8)Audio is great, very loud and clear.
9)Webcam is very nice, perfect for streaming, very high detailed with no 'jittering'.
10)Ports are good, the HDMI works perfectly and looks great with my TV.
11)AC adapter is Standard yet very durable and lightweight.
12)Windows8 isEasy to use, quickly able to adapt from taking a first time leap from XP all the way to the newest OS.
13)Service and delivery was great from Dell as usual.
14)A very satisfied customer and I won't fail to recommend this product
15)Disk tray is flimsy and not very well built when open, it still performs well.
16)The casing on the front of the screen (trim where the webcam is) feels 'plasticy, weak and cheap, the back is ridged and a nice design though
17)the price is very decent for what you're getting.
18)Unfortunately I left mine in the sun and the keys have faded (that is my fault not the product) I'm still looking to find a replacement.","few weeks,6 years,"
Inspiron 15,ecommerce Website,25/3/2013,4/5,"I like this laptop because it is cheap, light weight, and seems to have a good performance, except one problem that I am considering to return. The first time I turned it, there was a loud sound of the fan or the hard drive ( I am not sure). I hoped it would stop after few minutes, but it didn't. Now every time I turn this laptop on, this sound bothers me, especially when I use the laptop in a quiet place. Can someone help me to fix this problem so I don't have to return it? Thanks.",To be derived,To be derived,To be derived,To be derived,To be derived,,,
Inspiron 15,ecommerce Website,20/2/2014,5/5,"Like a desktop away from your desktop. I use the Inspiron for all my computing needs, the non-touch is definitely worth the money, and that extra hundred for touch is preference. It has common durability. Get Windows 8 pro for the extra security (Bitlocker), extra speed, and accessibility. It feels like a small desktop, and ironically has more storage than my Windows 7 Gateway. Dell is definitely the way to go for laptops. Pros:lots of space, wide screen, thin screen, fast start upCons:no right-click button, wide screen, thin screen, not a lot of memory for gaming.",To be derived,To be derived,To be derived,To be derived,To be derived,,,
Inspiron 15,ecommerce Website,17/2/2014,3/5,"The on screen keyboard pops up when u don't ask it to-I didn't buy a tablet I don't need it. Annoys you to upgrade to 8.1 and when you do you have to get new Bluetooth drivers.Once you upgrade to 8.1 it tells you to upgrade the BIOS this will ruin your Hard Drive and they have to replace the computer or send someone to replace the Hard Drive and they do not extend the Warranty when all they do is send someone so DO NOT UPGRADE THE BIOS! Doing so will break the computer. Everything will run slow and give errors and do lots of weird stuff. The scan they have you run will come back fine after getting stuck around 98% for a long time and they try to put you off by not calling when they said and giving a super long wait time when you call back, Stay on the line! They will run a scan by downloading their own scan onto the computer and see that the Hard Drive is bad. I wish they had sent it with 8.1 to avoid this and would check their updates before releasing them. They need to replace the whole thing and extend the warranty if they are going to release updates that break the computer!-very disgruntled.",To be derived,To be derived,To be derived,To be derived,To be derived,,,
Inspiron 15,ecommerce Website,14/2/2014,4/5,We were looking for a laptop to add to our business. This one provided what we needed for a good price.,To be derived,To be derived,To be derived,To be derived,To be derived,,,
Inspiron 15,ecommerce Website,13/2/2014,2/5,"My laptop started experiencing scree/display problems within the first week. It appears pixels have stopped working in a small portion of the screen. Its small but becomes extremely annoying when watching a movie or trying to do work and there's a small blotch in the middle of someone's face. Pros:works well,fast Cons: manufacturer defect.",To be derived,To be derived,To be derived,To be derived,To be derived,,,
Inspiron 15,ecommerce Website,13/2/2014,1/5,"You get what you pay for and this is not an expensive machine. I bought 2 but only opened one. Windows 8.1 can only be downoaded by removing an installed update. It takes ages to open some tiles, sometimes up to 30 sec. The recommended memory for this product according to Dell is larger than the 4gb they supply so why do they do that? Keyboard has cheap feel and being black on black its very difficult to see. Wanted to upgrade the one i had used for a few days and return the one i had not even opened but due to only 7 day return period Dell refuse to have either of them back. I have 2 expensive bookends. Buyer beware(hide) Pros:touch screen Cons:too slow, memory to small for os, keyboard almost invisible, graphis poor when streaming, finger mark.",To be derived,To be derived,To be derived,To be derived,To be derived,,,
Inspiron 15,ecommerce Website,13/2/2014,4/5,"Bought the Inspiron to replace ~10 year old Dell desktop - had not realized the prices for laptops had reached such levels. Only a month in, but quite pleased from an overall perspective. Windows 8 has offered its challenges, but as we learn the 'tricks', it's getting much more friendly. The sturdiness of the unit is great, and as others have mentioned the keyboard is fantastic (so nice to get away from the soft keyboards of other products). Maybe not as fast or feature rich as higher priced laptops/desktops, but suits our purpose as a basic machine. Excellent price/performance ratio",To be derived,To be derived,To be derived,To be derived,To be derived,,,
Inspiron 15,ecommerce Website,2/12/2014,4/5,"MY FRIST INSPIRON WINDOW VISTA I HAD IT FOR 10 YRS WITH OUT KNOW PROBLEMS , SO MY SON GOT US THIS INSP.. 15 WHEN I TOLD HIM IT WAS THE BEST PC I EVER HAD , HE GOT HIM ONE AN IN 2 YRS HE GOT US THIS ONE AN SENT US HIS LOVE AS HE LOVE THE DELL PERFROMICE , AN THAT HOW WE GOT ARE NEW PC .. FROM THE HARD WORKING DELL PC LAP TOPS .../ THANK YOU DELL FOR THE FINE PCs YOU OFFER US",To be derived,To be derived,To be derived,To be derived,To be derived,,,
Inspiron 15,ecommerce Website,2/10/2014,4/5,This laptop is much lighter than my last one. I have had no problems so far but have always found that customer service with Dell was so easy to access. This has everything that I need and at a decent price.,To be derived,To be derived,To be derived,To be derived,To be derived,,,
