did	entities
2344	google,facebook,apple
505	the next web microsoft,office lens,apple
1779	greenbutton,infiniband,msdn blogs
801	u.s. department of homeland security,reuters,dhs,google
756	publicis groupe,interpublic group,dentsu aegis,ipg,razorfish,geekwire microsoft
2257	firefox,mozilla,google
786	amazon
1019	apple,yahoo screen android,netflix,amazon,google,yahoo mail,mlb
1791	carnegie mellon university,google
355	nokia lumia,kraft macaroni
367	firefox,google
1031	panasonic,sephora,radioshack,clarks,commission junction,aeropostale,nordstrom,gymboree
1094	google chromecast,sony
1273	boeing,north american international auto show,audi,focus electric,mercedes-benz,commercial airplanes,ford,apple,gm,bmw,applink
2254	reuters,google,htc,samsung
235	skype,nokia xl,nokia launches,google
615	collaboration technology group,mitel,cisco,thomson reuters,alcatel-lucent,webex meetings,siemens,avaya,webex social,ibm,tibco,google,tandberg
974	netflix,box,facebook,google
2421	respawn entertainment,sony
752	u.s. computer emergency readiness team,security response center
1084	zillow
2316	activision,youtube
1957	google,facebook,washington post,apple,justice department,nsa
755	minnesota energy resources,new jersey natural gas,amazon.com,redfin,geekwire energysavvy,san franciscoÕs prelude ventures,energysavvy
2056	ge,sap,intuit,yahoo,google,samsung,dancing giants
504	the next web microsoft
791	amazon
1260	ibm,cisco,tibco,thomson reuters,forrester research,webex meetings,idg news service,webex social
1960	us department of justice,google,foreign intelligence surveillance court,washington post,post,fbi,the electronic frontier foundation,facebook,yahoo,apple,justice department,us national security agency,nsa
776	shanghai media group,sony,bestv new media co.,shanghai free trade zone,geekwire microsoft,nintendo
749	greenbutton,geekwire microsoft
650	mozilla,department of homeland security,google
1676	google,adweek,white house,ars,yahoo privacy center
1876	nsa,justice department,apple,washington post,facebook,google
288	dartmouth college
1607	the next web microsoft
1813	apple,mac
1804	post,the washington post,apple,facebook,google
1562	nokia
1888	us department of justice,google,foreign intelligence surveillance court,washington post,post,fbi,the electronic frontier foundation,facebook,yahoo,apple,justice department,us national security agency,nsa
1412	office lens
766	google docs
506	greenbutton,weta digital,the next web microsoft,pixar,compaq,georgia state archives,us department of energy,sdk
237	nokia
1819	leap motion,computer human interaction
2420	facebook
1657	bing smart search
231	mobile world congress,panasonic,amd,foxconn,jsr,asus,lenovo thinkpad,dell,lg,gizmodo india
781	northwest,sacramento kings,nba,los angeles clippers,los angeles dodgers,seattle clippers,espn seattle,sonics,yahoo sports,clippers
1337	greenbutton cto,infiniband,cto,msdn blogs
1678	firefox
1732	cdi college,ajax
57	eclipse aviation,bloomberg businessweek,stone,google,facebook
362	nokia,cnet
909	redfin,energysavvy
344	nokia
93	state council,e-home entertainment development company ltd.,sony,nintendo
416	national hockey league,social media protection,cbs interactive,hootsuite media, inc.,wwf,virgin group,facebook,linkedin,ibm,sony music entertainment,hootsuite enterprise,google,financial executives research foundation inc.
2437	nanyang technological university,cto,google,facebook,linkedin,cnet
535	greenbutton,nvidia,pixar,renderman,amazon web services,hp,vmware,sdk
2572	lg odin,sony,google,sprint,taiwan semiconductor manufacturing company,htc,gpu,samsung,optimus,qualcomm,mediatek
2258	nokia lumia
1926	leap motion,computer human interaction
1917	google,facebook,apple,the washington post,post,fbi
311	computerworld,apple,google
1558	cnet
1561	boeing,north american international auto show,audi,focus electric,mercedes-benz,commercial airplanes,ford,apple,gm,bmw,applink
